sample_id,time_ms,fsr1,fsr2,fsr3
1966,3986,325,226,220
1967,3988,322,227,219
1968,3990,318,226,220
1969,3992,324,226,224
1970,3994,320,225,219
1971,3996,345,227,221
1972,3998,336,226,222
1973,4000,348,227,220
1974,4002,314,227,219
1975,4004,312,228,220
1976,4006,336,227,221
1977,4008,329,227,221
1978,4010,316,227,220
1979,4012,319,229,223
1980,4014,332,228,222
1981,4016,361,227,224
1982,4018,356,228,223
1983,4020,346,227,225
1984,4022,314,227,226
1985,4024,316,228,226
1986,4026,342,228,225
1987,4028,331,228,227
1988,4030,326,228,225
1989,4032,337,228,228
1990,4034,342,228,230
1991,4036,366,227,230
1992,4038,355,228,229
1993,4040,348,228,230
1994,4042,316,229,230
1995,4044,317,228,228
1996,4046,341,228,230
1997,4048,340,228,229
1998,4050,334,229,230
1999,4052,338,229,231
2000,4054,335,229,231
2001,4056,370,229,231
2002,4058,358,229,231
2003,4060,344,229,231
2004,4062,315,228,231
2005,4064,320,228,230
2006,4066,346,229,231
2007,4068,337,229,230
2008,4070,338,229,231
2009,4072,334,230,230
2010,4074,338,229,231
2011,4076,364,230,232
2012,4078,366,231,232
2013,4080,351,229,232
2014,4082,320,230,231
2015,4084,321,229,231
2016,4086,343,229,231
2017,4088,337,230,231
2018,4090,329,229,231
2019,4092,328,229,231
2020,4094,335,230,232
2021,4096,362,229,232
2022,4098,357,228,232
2023,4100,347,232,231
2024,4102,319,229,232
2025,4104,317,230,232
2026,4106,342,230,233
2027,4108,335,229,232
2028,4110,331,230,233
2029,4112,341,228,232
2030,4114,340,229,231
2031,4116,369,229,233
2032,4118,358,229,233
2033,4120,355,229,232
2034,4122,312,228,232
2035,4124,313,229,232
2036,4126,330,228,232
2037,4128,332,230,232
2038,4130,329,229,234
2039,4132,339,229,232
2040,4134,333,229,233
2041,4136,365,228,233
2042,4138,357,229,232
2043,4140,343,229,232
2044,4142,314,229,230
2045,4144,317,229,230
2046,4146,338,229,231
2047,4148,332,229,231
2048,4150,338,229,230
2049,4152,335,229,231
2050,4154,335,229,232
2051,4156,379,230,231
2052,4158,357,229,230
2053,4160,354,230,231
2054,4162,317,230,230
2055,4164,319,228,229
2056,4166,347,229,231
2057,4168,343,229,230
2058,4170,338,229,230
2059,4172,335,229,231
2060,4174,336,229,228
2061,4176,366,229,228
2062,4178,362,228,227
2063,4180,339,229,226
2064,4182,321,227,224
2065,4184,315,228,225
2066,4186,344,229,227
2067,4188,339,228,225
2068,4190,336,229,225
2069,4192,338,229,226
2070,4194,337,229,228
2071,4196,376,229,225
2072,4198,360,229,227
2073,4200,340,229,227
2074,4202,318,229,228
2075,4204,313,228,226
2076,4206,352,229,226
2077,4208,336,230,226
2078,4210,331,230,225
2079,4212,337,229,225
2080,4214,340,229,224
2081,4216,367,229,225
2082,4218,363,229,226
2083,4220,344,229,225
2084,4222,320,229,225
2085,4224,321,230,225
2086,4226,338,229,225
2087,4228,341,230,227
2088,4230,349,229,225
2089,4232,336,229,224
2090,4234,338,229,224
2091,4236,378,230,225
2092,4238,364,228,222
2093,4240,346,230,223
2094,4242,330,229,223
2095,4244,323,229,225
2096,4246,345,230,225
2097,4248,344,230,223
2098,4250,346,229,225
2099,4252,340,230,226
2100,4254,341,230,226
2101,4256,371,231,227
2102,4258,363,231,226
2103,4260,340,231,227
2104,4262,317,230,226
2105,4264,309,231,226
2106,4266,346,231,227
2107,4268,333,231,226
2108,4270,354,230,225
2109,4272,343,231,227
2110,4274,345,230,226
2111,4276,364,230,227
